a|00|00|00|Secador de Viagem VOX HT3072|Vox|9.99|O Secador ideal para viagem. Possui uma pega drobável que  o torna ainda mais compacto. Dois níveis de temperatura e garantia de 2 anos.
a|00|00|00|Secador de Cabelo BIO IONIC Ultralível 10X Preto|Bio Ionic|289.99|Este secador contém muita potência em menos de 500g. O motor de 1800W consegue secar o cabelo em menos de 10 minutos. 
a|00|00|01|Torradeira BECKEN Bt 2932 2e (850 W)|Becken|19.99|A torradeira Becken BT 2932 2e, com potência de 750 a 850 W, apresenta duas fendas de abertura compacta e um corpo elegante e robusto, de design moderno revestido a inox. Agora, os seus pequenos-almoços vão ter um gosto especial graças aos resultados ótimos e rápidos proporcionados pela torradeira Becken BT 2932 2e, que se destaca pela função de descongelação e aquecimento de pão, bem como pelas opções de reaquecimento. Somando cinco posições de termóstato, a torradeira Becken BT 2932 2e evidencia-se ainda pela bandeja de recolha de migalhas amovível, pelo desligamento automático e pela tecla de interrupção, não esquecendo o aviso luminoso e sonoro e as paredes frias ao toque, que evitam queimaduras.
a|00|00|01|Torradeira SMEG Anni 50 TSF02CREU (Creme - 1500 W)|Smeg|179.99|A torradeira Smeg TSF02CREU da série clássica Anni ’50 é mais do que um eletrodoméstico muito útil. Esta peça de design desenvolvida em parceria com o atelier Deepdesign, com duas fendas longas e potência de 1500 W, apresenta um corpo em chapa de aço com moldagem intensa. Destaca-se pela autocentragem das grelhas, pelos seis níveis de tostagem e pelas funções Reaquecer, Descongelar, Cancelar e Bagel. 
a|01|02|02|Smartphone HUAWEI Y6 2019 (6.09'' - 2 GB - 32 GB - Camel)|Huawei|149.99|Tanto a câmara frontal como a traseira suportam ainda a funcionalidade de Realidade Aumentada, com filtros pré-instalados para tornar as tuas fotos mais divertidas.
a|01|02|02|Smartphone SAMSUNG Galaxy S10 (6.1'' - 8 GB - 128 GB - Prateado Prisma)|Samsung|749.99|Android 9 com processador Exynos9 9820 com Octa-Core. Garantia de 2 anos.
a|01|02|03|iPhone 7 APPLE (4.7'' - 2 GB - 32 GB - Preto)|Apple|449.99|Este iPhone 7 preto melhora as já avançadas características do universo iPhone. O novo modelo oferece uma câmara principal de 12 MP com estabilizador ótico e câmara frontal FaceTime HD de 7 MP com flash True Tone quad-LED. Além do melhor desempenho e autonomia de sempre (até 14 horas em conversação e 10 dias em espera), destaca-se pelo ecrã panorâmico Retina HD de 4,7” com resolução de 1334 x 750 píxeis e pelo facto de ser resistente a água e salpicos.
a|01|02|03|iPhone 11 Pro APPLE (5.8'' - 64 GB - Dourado)|Apple|1280|Com iOS 13, processador A13 Bionic e Hexa-Core. Versão de 64GB.
a|01|03|04|Capa APPLE iPhone 11 Pro Max Clear Transparente|Apple|57.46|Modelo Clear, não inclui película.
a|01|03|04|Capa iPhone 7, 8 KLACK Fit Transparente|Klack|0.95|Capa translúcida. Compatibilidade com iPhone 7,8
a|01|03|04|Capa Samsung Galaxy S10e WEPHONE ACCESORIOS 360º Transparente|Wephone Accesorios|5.5|Capa transparente. Protecção ecrã e traseira.
a|01|03|04|Capa Huawei Y6 2019, Honor 8A AVIZAR Silicone Preto|Avizar|12.9|Capa preta em silicone. Proteção traseira. Compatível com Y6 2019, Honor 8A
a|01|03|05|Película Vidro Temperado Huawei Y6 2019 WEPHONE ACCESORIOS Normal|Wephone Accesorios|3.95|Modelo sem moldura. Compatibilidade Huawei Y6 2019
a|01|04|06|Portátil Gaming LENOVO Legion Y540-15IRH-554 (15.6'' - Intel Core i7-9750H - RAM: 8 GB - 512 GB SSD - NVIDIA GeForce GTX 1650)|Lenovo|1199|Com um Intel Core i7-9750H Hexa Core com 2.6GHz de velocidade. 8GB de RAM e 512GB de SSD. Gráfica dedicada NVIDIA GeForce GTX 1650 com 4GB de memória.
a|01|04|07|Desktop Gaming HP|HP|4297|Com um Intel Core i9-7920X de 6a geração e velocidade de processador de 4.3GHz. 32GB de RAM e 512GB SSD. Gráfica NVIDIA GeForce GTX 1080 com 8GB de memória e GDDR5.
a|01|05|08|Mochila HP OMEN by HP (Universal - 17.3'' - Vermelho)|HP|59.99|Mochila resistente à água. Com garantia de 1 ano.
a|01|05|09|Mala PORT Zurich (Universal - 15.6'' - Preto)|Port|39.99|Mala resistente à água. Com garantia de 2 anos.
a|01|05|10|Rato THUNDERX3 AM7 (Ótico - 12000 dpi - Preto)|ThunderX3|50|ThunderX3 AM7. Fator de forma: mão direita. Tecnologia de detecção de movimento: Óptico, Interface de dispositivo: USB, Resolução do movimento: 12000 DPI, Tempo de resposta (típico): 1 ms, Tipo de botões: Botões premidos, Número de teclas: 8, Tipo de scroll (deslocamento): Roda, Aceleração (máx.): 50 G. Cor de iluminação: Multi. Fonte de alimentação: Cabo. Peso do rato: 118 g. Cor da caixa: Preto, Cinzento
